carrier_name,shipping_option_code,shipping_option_result,partner,service,last_update
Dropi Fretes,3811739,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3811178,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3810560,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4750768,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4750766,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4602444,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4601282,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4600973,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4599674,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4593215,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4537204,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4537161,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4530173,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4528498,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3772325,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3770961,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3710859,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3710857,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4748963,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4748837,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3770531,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3768528,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3768150,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3768092,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3758337,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3755591,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3732379,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3732378,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3732301,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3731279,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Muvon Logística - INOUT PINTURAS,Flex,Muvon Logística - INOUT PINTURAS - Outros,,Outros,2025-08-07 16:10:53
Muvon Logística - GRUPO PATAGONICO,Flex,Muvon Logística - GRUPO PATAGONICO - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4506634,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4502910,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4495766,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4495269,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4489879,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4489314,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4542728,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4540800,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4538472,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4538020,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
